epay_address,epay,vip_website_no,vip_address,elevate_name,company_name,elevate_name_new_qbo_class,ondigo_address,salesforce_id,rbfc_market,asm
"12 N Mill St, New Castle, PA, 16101",479227,7798845,12 N Mill St,YT - New Castle,PA,YT - New Castle-5644,"12 N Mill St, New Castle, PA 16101-3610, US",0018000000sgh4kAAA,Youngstown,Eddie
"688 Albright Road, Rock Hill, SC, 29730",470679,7485459,688 Albright Rd,SC - Albright,SC,SC - Albright-1191,"688 Albright Rd, STE 103, Rock Hill, SC 29730-6290, US",0018000000UvUtjAAF,South Carolina,Pedro
"578 Anderson Road N, Rock Hill, SC, 29730",470678,7485458,578 Anderson Rd N,SC - Anderson,SC,SC - Anderson-1212,"578 Anderson Rd N, Rock Hill, SC 29730-7300, US",0018000001GX9wWAAT,South Carolina,Pedro
"401 Saluda Street, Rock Hill, SC, 29730",470677,7485460,401 Saluda St,SC - Saluda,SC,SC - Saluda-1204,"401 Saluda St, Rock Hill, SC 29730-5309, US",0018000001Jc3aeAAB,South Carolina,Pedro
"11501 Hoffman Blvd, West Mifflin, PA, 15122",470666,7483260,1204 Hoffman Blvd,SP - Hoffman,PA,SP - Hoffman-4833,"1204 Hoffman Blvd, ste 1800, West Mifflin, PA 15122-2305, US",0018000000ZjJcrAAF,South PA,Anthony
"118 E 8th Avenue, Homestead, PA, 15120",470671,7483259,118 E 8th Ave,SP - Homestead,PA,SP - Homestead-4866,"118 E 8th Ave, boost mobile, Homestead, PA 15120-1504, US",0018000000rPvBtAAK,South PA,Anthony
"217 Mall Circle Drive, Monroeville, PA, 15146",470670,7483262,234 Monroeville Mall,EP - Monroeville,PA,EP - Monroeville-9097,"234 Monroeville Mall, ste 234, Monroeville, PA 15146-2223, US",0018000001JeIyWAAV,East PA,Mohammed
"5905 Penn Avenue, Pittsburgh, PA, 15206",470669,7483251,5905 Penn Ave,EP - Penn Ave,PA,EP - Penn Ave-1667,"5905 Penn Ave, Pittsburgh, PA 15206-3818, US",0012E00001u2rnOQAQ,East PA,Mohammed
"11607 Penn Hills Drive, Pittsburgh, PA, 15235",470668,7483255,11607 Penn Hills Dr,EP - Penn Hills,PA,EP - Penn Hills-5296,"11607 Penn Hills Dr, BOOST MOBILE, Pittsburgh, PA 15235-3329, US",0018000000xoRAsAAM,East PA,Mohammed
"762 Penn Ave, Pittsburgh, PA, 15221",479230,7798842,762 Penn Ave,EP - Wilkinsburg,PA,EP - Wilkinsburg-5669,"762 Penn Ave, Pittsburgh, PA 15221-2217, US",0018000001Je3LUAAZ,East PA,Mohammed
"4224 Asheville Hwy, Knoxville, TN, 37914",494516,7869185,4224 Asheville Hwy,TE - Asheville Hwy,Nashville,TE - Asheville Hwy-6544,"4224 Asheville Hwy, Knoxville, TN 37914, US",0018000001Igvd7AAB,Tennessee East,TBD
"4409 Chapman Hwy, Suite 5, Knoxville, TN, 37920",474396,7756391,4409 Chapman Hwy,TE - Chapman,Knoxville,TE - Chapman-0699,"4409 Chapman Highway, Suite V, Knoxville, TN 37920-4357, US",0018000001JboQEAAZ,Tennessee East,TBD
"6739 Clinton Hwy, Knoxville, TN, 37912",474166,7749438,6739 Clinton Hwy,TE - Clinton,Knoxville,TE - Clinton-0664,"6739 Clinton Hwy, Knoxville, TN 37912-1000, US",0018000001aJJQcAAO,Tennessee East,TBD
"7019 Kingston Pike, Knoxville, TN, 37919",474163,7749746,7019 Kingston Pike,TE - Kingston,Knoxville,TE - Kingston-0710,"7019 Kingston Pike, Knoxville, TN 37919-5706, US",00180000016ZHeUAAW,Tennessee East,TBD
"2001 N Broadway Street, Knoxville, TN, 37917",494527,7869187,2001 N Broadway St,TE - North Broadway,Nashville,TE - North Broadway-6552,"2001 N Broadway Street, Suite F, Knoxville, TN 37917, US",0018000001Jcz4EAAR,Tennessee East,TBD
"1338 Parkway, STE 8, Sevierville, TN, 37862",494500,7869183,1338 Parkway,TE - Sevierville,Nashville,TE - Sevierville-6528,"1338 Parkway, STE 8, Sevierville, TN 37862-4000, US",0018000001Oo9cPAAR,Tennessee East,TBD
"3613 Western Avenue, Knoxville, TN, 37921",494538,7869189,3613 Western Ave,TE - Western Ave,Nashville,TE - Western Ave-6536,"3613 Western Avenue, Knoxville, TN 37921, US",0018000001LWNBvAAP,Tennessee East,TBD
"3056 Dickerson Pike, Nashville, TN, 37207",477459,7776010,3056 Dickerson Pike,TW - Dickerson Pike,Nashville,TW - Dickerson Pike-6614,"3056 Dickerson Pike, STE B, Nashville, TN 37207-2902, US",00180000010KTYvAAO,Tennessee West,Bhupen
"2412 E Broadway Ave, Maryville, TN, 37804",474156,7749236,2412 E Broadway Ave,TW - East Broadway,Knoxville,TW - East Broadway-0680,"2412 E Broadway Ave, Maryville, TN 37804-2759, US",0018000001RdM4NAAV,Tennessee West,Bhupen
"1128 Murfreesboro Pike, Nashville, TN, 37217",477455,7776007,1128 Murfreesboro Pike,TW - Murfreesboro Pike,Nashville,TW - Murfreesboro Pike-6592,"1128 Murfreesboro Pike, STE 102, Nashville, TN 37217-2129, US",0018000000LphJ2AAJ,Tennessee West,Bhupen
"1183 Oak Ridge Tpk, Oak Ridge, TN, 37830",474168,7749442,1183 Oak Ridge Tpke,TW - Oak Ridge,Knoxville,TW - Oak Ridge-0672,"1183 Oak Ridge Tpke, Oak Ridge, TN 37830-6442, US",0018000001UCPQUAA5,Tennessee West,Bhupen
"202 N Thompson Lane, Murfreesboro, TN, 37129",477457,7776009,202 N Thompson Ln,TW - Thompson Ln,Nashville,TW - Thompson Ln-6606,"202 N Thompson Ln, STE A, Murfreesboro, TN 37129-4327, US",00180000016Z6N2AAK,Tennessee West,Bhupen
"1807 West Broadway Ave, Maryville, TN, 37801",474176,7749744,1807 W Broadway Ave,TW - West Broadway,Knoxville,TW - West Broadway-0702,"1807 W Broadway Ave, Maryville, TN 37801-5511, US",0018000001FPZUNAA5,Tennessee West,Bhupen
"1408 N Main St, Findlay, OH, 45840",493922,7868983,1408 N Main St,WO - Findlay,Columbus,WO - Findlay-7579,"1408 N Main St, Findlay, OH 45840-3730, US",0018000000sfrvFAAQ,Western Ohio,Michael
"200 N Metcalf St, Lima, OH, 45801",493921,7868985,200 N Metcalf St,WO - Lima,Columbus,WO - Lima-7582,"200 N Metcalf St, STE C, Lima, OH 45801-4257, US",0018000000ogxxTAAQ,Western Ohio,Michael
"1071 Park Ave West, Mansfield, OH, 44906",489906,7868092,1071 Park Ave W,WO - Mansfield,Columbus,WO - Mansfield-3486,"1071 Park Ave W, Mansfield, OH 44906-2811, US",0018000000sgMr6AAE,Western Ohio,Michael
"1295 Mount Vernon Ave, Suite 100, Marion, OH, 43302",489898,7868100,1295 Mount Vernon Ave,WO - Marion,Columbus,WO - Marion-3502,"1295 Mount Vernon Ave, STE 100, Marion, OH 43302-5660, US",0018000000pM0YfAAK,Western Ohio,Michael
"561 N Vandemark Rd, Sidney, OH, 45365",493916,7868995,561 N Vandemark Rd,WO - Sidney,Columbus,WO - Sidney-6470,"561 N Vandemark Rd, Sidney, OH 45365-2454, US",0018000001HbIMUAA3,Western Ohio,Michael
"1063 N Bechtle Ave, Springfield, OH, 45504",493923,7868981,1063 N Bechtle Ave,WO - Springfield,Columbus,WO - Springfield-7566,"1063 N Bechtle Ave, Springfield, OH 45504-2007, US",00180000016arr4AAA,Western Ohio,Michael
"5221 Mahoning Ave, Austintown, OH, 44515",489027,7867962,5221 Mahoning Ave,YT - Austintown,Youngstown,YT - Austintown-1337,"5221 Mahoning Ave, Austintown, OH 44515-1807, US",0018000000xoxMUAAY,Youngstown,Eddie
"3900 Belmont Ave, Youngstown, OH, 44505",487447,7865964,3900 Belmont Ave,YT - Belmont,Youngstown,YT - Belmont-6923,"3900 Belmont Ave, Youngstown, OH 44505-1410, US",00180000016ZYdjAAG,Youngstown,Eddie
"104 Boardman-Poland Rd, Boardman, OH, 44512",487449,7868104,104 Boardman Poland Road,YT - Boardman,Youngstown,YT - Boardman-6709,"104 Boardman Poland Road, Youngstown, OH 44512-4603, US",0018000000k0PIwAAM,Youngstown,Eddie
"669 Gypsy Lane, Youngstown, OH, 44505",492407,7868628,669 Gypsy Lane,YT - Gypsy Lane,Youngstown,YT - Gypsy Lane-1843,"669 Gypsy Ln, Youngstown, OH 44505-2409, US",0013t00002HIZHwAAP,Youngstown,0
"3304 Mahoning Ave, Youngstown, OH, 44509",487450,7866267,3304 Mahoning Ave,YT - Mahoning,Youngstown,YT - Mahoning-6816,"3304 Mahoning Ave, Youngstown, OH 44509-2616, US",0018000000qWd2iAAC,Youngstown,Eddie
"669 McCartney Rd, Youngstown, OH, 44505",487453,7866269,669 McCartney Rd,YT - McCartney,Youngstown,YT - McCartney-6774,"669 McCartney Rd, STE 1, Youngstown, OH 44505-5048, US",0018000000njChiAAE,Youngstown,Eddie
"5855 Youngstown Warren Rd, Niles, OH, 44446",487452,7866268,5580 Youngstown Warren Rd,YT - Niles,Youngstown,YT - Niles-6857,"5580 Youngstown Warren Rd, STE 9, Niles, OH 44446-4800, US",0018000000tiVvKAAU,Youngstown,Eddie
"2815 Youngstown Rd, Warren, OH, 44484",487448,7865965,2815 Youngstown Rd SE,YT - Warren,Youngstown,YT - Warren-6873,"2815 Youngstown Rd SE, Warren, OH 44484-5079, US",0018000000xpClXAAU,Youngstown,Eddie
"917 W Market St, Warren, OH, 44481",487446,7865863,917 W Market St,YT - West Market,Youngstown,YT - West Market-6907,"917 W Market St, Warren, OH 44481-1041, US",00180000016ZJdwAAG,Youngstown,Eddie
"3008 Sullivant Avenue, Columbus, OH, 43204",489903,7868096,3008 Sullivant Avenue,CB - Sullivant,Columbus,CB - Sullivant-3718,"3008 Sullivant Ave, Columbus, OH 43204-2423, US",0018000001LVsU6AAL,Columbus,Vae
"920 Main Street, Pittsburgh, PA, 15215",499292,7869858,920 Main St,EP - Main Street,PA,EP - Main Street-7267,"920 Main Street, Pittsburgh, PA 15215, US",0013t00002AJbLjAAL,East PA,Mohammed
"717 Broadway Ave, McKees Rocks, PA, 15136",499317,7869863,717 Broadway Ave,NP - Mckees Rocks,PA,NP - Mckees Rocks-7598,"717 Broadway Ave, Mc Kees Rocks, PA 15136, US",0018000000kw6gYAAQ,North PA,Vikas
"6006 Broad St, East Liberty, PA, 15206",499311,7869860,6006 Broad St,EP - East Liberty,PA,EP - East Liberty-7614,"6006 Broad St, East Liberty, PA 15206, US",0018000000pOKl7AAG,East PA,Mohammed
"2012 Noble Street, Swissvale, PA 15218",499319,7869868,2012 Noble St,SP - Swissvale,PA,SP - Swissvale-7630,"2012 Noble Street, Swissvale, PA 15218, US",0018000000rPvBwAAK,South PA,Anthony
"408 Lysle Blvd, McKeesport, PA, 15132",499321,7869870,408 Lysle Blvd,SP - Mckeesport,PA,SP - Mckeesport-7689,"408 Lysle Blvd, McKeesport, PA 15132, US",0018000000tiVvYAAU,South PA,Anthony
"411 Smithfield St, Pittsburgh, PA 15222",499323,7869874,411 Smithfield St,NP - Smithfield,PA,NP - Smithfield-7812,"411 Smithfield St., Pittsburgh, PA 15222, US",0018000001AAaqGAAT,North PA,Vikas
"1726 Greensburg Ave, North Versailles, PA, 15137",499322,7869872,1726 Greensburg Ave,EP - North Versailles,PA,EP - North Versailles-7820,"1726 Greensburg Ave, North Versailles, PA 15137, US",0018000001GUTbrAAH,East PA,Mohammed
"89 Tarentum Bridge Road, New Kensington, PA, 15068",499325,7869876,89 Tarentum Bridge Rd,EP - New Ken,PA,EP - New Ken-7846,"89 Tarentum Bridge Road, New Kensington, PA 15068, US",0018000001NnmhPAAR,East PA,Mohammed
"2000 Wharton Street, Pittsburgh, PA, 15203",499291,7869851,2000 Wharton St,WP - Southside,PA,WP - Southside-7853,"2000 Wharton Street, STE 100, Pittsburgh, PA 15203, US",0018000001Vwn8AAAR,West PA,Ramona
"4313 Walnut St, McKeesport, PA, 15132",499326,7869880,4313 Walnut St,Walnut St,PA,Walnut St-t St,,,,
"529 East Manhattan Boulevard Toledo, OH 43608",499780,7870127,529 East Manhattan Boulevard,WO - Manhattan,Cleveland,WO - Manhattan-8322,"529 East Manhattan Boulevard, Toledo, OH 43608, US",0014z00001tEeKTAA0,Western Ohio,Michael
"5409 Dorr Street Toledo, OH, 43615",499762,7870117,5409 Dorr St,WO - Dorr Street,Cleveland,WO - Dorr Street-8319,"5409 Dorr Streete, Toledo, OH 43615, US",0018000001bNbOIAA0,Western Ohio,Michael
"2310 Woodville Road Oregon, OH 43616",500036,7870214,2310 Woodville Rd,WO - Woodville,Cleveland,WO - Woodville-8903,"2310 Woodville Road, Oregon, OH, 43616, US",0018000001c623sAAA,Western Ohio,Michael
"5800 N Sharon Amity Rd Charlotte, NC 28215",500008,7870204,5800 N Sharon Amity Rd,SC - East Town,NC,SC - East Town-9198,"5800 N Sharon Amity Rd, STE H, Charlotte, NC 28215, US",001U100000cN2zLIAS,South Carolina,Pedro
"5106 Butler Street Pittsburgh, PA 15201",500072,7870239,5106 Butler St Apt 1,WP - Butler,PA,WP - Butler-6652,"5106 Butler Street, Pittsburgh, PA 15201, US",0018000001OlWiFAAV,East PA,Mohammed
"4625 Liberty Ave Pittsburgh, PA 15224",500073,7870241,4625 Liberty Ave,EP - Bloomfield,PA,EP - Bloomfield-6645,"4625 Liberty Ave, Pittsburgh, PA 15224, US",0012E00001u3ZGcQAM,East PA,Mohammed
"943 5th ave Coraopolis, PA 15108",500081,7870245,943 5th Ave Apt 1,NP - Coraopolis,PA,NP - Coraopolis-6660,"943 5th ave, Coraopolis, PA 15108, US",0012E00002JdArvQAF,North PA,Vikas
"2516 Bethel Rd Columbus, OH, 43220",500168,7870290,2516 Bethel Rd,CB - Bethel Rd,Columbus,CB - Bethel Rd-8555,"2500 Bethel Rd, Columbus, OH 43220, US",001U100000dU5gdIAC,Columbus,Cristina
"5965 S Sunbury Rd Westerville, OH, 43081",500186,7870299,5965 S Sunbury Rd,CB - Westerville,Columbus,CB - Westerville-4902,"5965 S Sunbury Rd, Westerville, OH 43081, US",001U100000bYv8GIAS,Columbus,Cristina
,500230,7870307,514 Chartiers Ave,NP - Chartiers,PA,NP - Chartiers-5651,"514 Chartiers Ave, Mc Kees Rocks, PA 15136, US",0018000001XEZitAAH,North PA,Vikas
,500238,7870312,1726 E Carson St Fl 1,WP - East Carson,PA,WP - East Carson-6694,"1726 East Carson St, FL 1, Pittsburgh, PA 15203, US",0018000001LUxRyAAL,West PA,Ramona
,,7867960,2750 Mahoning Ave,YT - Jamestown Village,Youngstown,YT - Jamestown Village-1287,,,,
,,7870243,639 Merchant Street,,PA,-,,,,
,500239,7870316,4135 Brownsville Rd,SP - Brentwood,PA,SP - Brentwood-6678,,0018000001bLh4eAAC,South PA,Anthony
,,7870267,2794 Robinson BLVD,,PA,- ,,,,
,500235,7870310,6136 Saltsburg Rd,,PA,-,,,,
,,7870237,28 W Steuben St,,PA,-,,,,
,500399,7870379,402 E Ohio Street,NP - East Ohio,PA,NP - East Ohio-6744,,0018000000T932yAAB,North PA,Vikas
,500400,7870383,247 Three Springs Dr,WP - Weirton,Youngstown,WP - Weirton-8338,,0018000001VxCemAAF,West PA,Ramona
,500397,7870381,750 Brookline Blvd,SP - Brookline,PA,SP - Brookline-6751,,0018000001OlVKCAA3,South PA,Anthony
,500398,7870377,1609 Broadway Ave,SP - Beechview,PA,SP - Beechview-6637,,0012E000024bC0kQAE,South PA,Anthony
,501103,7870484,5021 Turney Road,CL - Garfield,Cleveland,CL - Garfield-8911,,001U100000HgJ1GIAV,Cleveland,Jill
,501377,7870717,228 Brownsville Road,SP - Knoxville,PA,SP - Knoxville-6702,,0012E00001tiNDWQA2,South PA,Anthony
,,,,CL - S Euclid,Cleveland,CL - S Euclid-5629,,0018000001JdwwGAAR,Cleveland,Jill
,,,,CL - Willowick,Cleveland,CL - Willowick-5616,,0018000001LXIDzAAP,Cleveland,Jill
,,,,CL - Parma,Cleveland,CL - Parma-5632,,00180000016bFLnAAM,Cleveland,Jill
,,,,NP - Bellevue,PA,NP - Bellevue-,,001U100000u03yZIAQ,North PA ,Vikas
,,,1155 Washington Pike,SP - Bridgeville,PA,SP - Bridgeville-,,001U100000tzyKcIAI,South PA,Anthony
